                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2773,                 3.2146,                 4.3272,                0.00397,                      1,                0.01258,                0.00414,                 1.9833,                 670.59,                 8.6942,               0.070074,              0.0033251,              0.0033251
                      2,                 3.3098,                 2.7198,                  4.081,                0.00466,                      1,                0.00725,                0.00227,                 2.1759,                 505.66,                 11.023,               0.039855,              0.0064387,              0.0064387
                      3,                 3.1126,                   2.54,                 3.8892,                0.00553,                    0.8,                 0.0148,                0.00434,                 1.8788,                 1158.7,                 8.4836,               0.009415,              0.0093323,              0.0093323
                      4,                 2.8885,                 2.3162,                 3.5885,                0.03968,                    0.5,                 0.0459,                0.03543,                 1.9102,                 455.27,                 4.5078,                0.00901,                0.00901,                0.00901
                      5,                 2.7612,                 2.1843,                 3.2416,                 0.0625,                    0.3,                0.03701,                 0.0141,                 2.3666,                 126.17,                 4.2763,                0.00901,                0.00901,                0.00901
                      6,                 2.5481,                 1.9792,                 3.0156,                0.04812,                      1,                0.25523,                0.08212,                 1.9496,                 60.147,                 3.2235,                0.00868,                0.00868,                0.00868
                      7,                  2.444,                 1.7574,                 2.9447,                   0.75,                    0.3,                0.33402,                0.10828,                 2.4015,                 28.103,                 3.7829,                0.00835,                0.00835,                0.00835
                      8,                  2.256,                 1.6429,                 2.8022,                0.16923,                      1,                 0.4623,                0.12205,                 2.4448,                  24.78,                 3.7057,                0.00802,                0.00802,                0.00802
                      9,                 2.0398,                 1.5322,                 2.5824,                   0.11,                    0.8,                0.37792,                0.10222,                 2.1473,                 16.954,                 3.2904,                0.00769,                0.00769,                0.00769
                     10,                 1.8852,                  1.346,                 2.4709,                0.48507,                    0.8,                0.69314,                    0.2,                 2.2494,                 2.7106,                 3.2784,                0.00736,                0.00736,                0.00736
                     11,                 1.8002,                 1.3084,                 2.4304,                0.13901,                    0.9,                0.31089,                0.07909,                 2.6227,                  16.64,                 3.4978,                0.00703,                0.00703,                0.00703
                     12,                 1.7162,                 1.2037,                 2.3459,                0.13267,                      1,                0.31589,                0.09731,                  2.116,                 19.577,                 3.5458,                 0.0067,                 0.0067,                 0.0067
                     13,                 1.6539,                 1.1571,                 2.2626,                0.08135,                      1,                0.20733,                0.05391,                 2.5606,                 44.749,                 3.9354,                0.00637,                0.00637,                0.00637
                     14,                 1.5731,                 1.0571,                 2.2051,                0.11089,                    0.3,                0.31107,                0.05315,                 2.3997,                 12.876,                 3.5465,                0.00604,                0.00604,                0.00604
                     15,                 1.5362,                  1.036,                 2.1697,                0.17732,                    0.7,                0.18567,                0.04655,                 2.5755,                   3.92,                 3.3479,                0.00571,                0.00571,                0.00571
                     16,                 1.4923,                 1.0608,                 2.1417,                0.36191,                    0.3,                0.29868,                0.06111,                 2.5698,                 4.3824,                 3.1997,                0.00538,                0.00538,                0.00538
                     17,                 1.4458,                0.99891,                 2.0791,                0.12309,                      1,                0.33361,                0.05747,                  2.969,                  23.03,                 4.4069,                0.00505,                0.00505,                0.00505
                     18,                 1.3884,                0.94443,                 2.0353,                0.08203,                    0.5,                0.09963,                0.02578,                 2.6618,                 3.1215,                 3.6673,                0.00472,                0.00472,                0.00472
                     19,                 1.3261,                0.99314,                   1.96,                0.24176,                    0.7,                0.22181,                0.05375,                 2.0742,                 2.9277,                 3.0083,                0.00439,                0.00439,                0.00439
                     20,                 1.3114,                0.93548,                 1.9558,                0.17843,                0.54375,                0.18076,                0.06846,                 2.1189,                 3.3306,                 3.0777,                0.00406,                0.00406,                0.00406
                     21,                 1.2662,                0.89831,                 1.9328,                0.15922,                    0.8,                0.19226,                0.04179,                 2.8056,                 8.4081,                 4.0425,                0.00373,                0.00373,                0.00373
                     22,                 1.3059,                 0.8941,                 1.9161,                0.22618,                    0.2,                0.23382,                 0.0377,                 2.5304,                 3.5889,                 3.3717,                 0.0034,                 0.0034,                 0.0034
                     23,                 1.2237,                0.84366,                 1.8687,                0.14451,                    0.7,                0.26758,                0.04678,                 2.7571,                 6.1547,                 3.8279,                0.00307,                0.00307,                0.00307
                     24,                  1.225,                0.80727,                 1.8878,                0.11973,                    0.7,                0.28159,                0.04682,                 2.9809,                 8.1471,                 3.8483,                0.00274,                0.00274,                0.00274
                     25,                 1.1782,                0.89359,                 1.8027,                0.11711,                    0.8,                0.29297,                 0.0475,                 2.9148,                 8.3435,                 3.6684,                0.00241,                0.00241,                0.00241
                     26,                 1.1661,                0.87275,                 1.7999,                0.13595,                    0.9,                0.24833,                0.04173,                 3.0088,                 7.8347,                 3.6472,                0.00208,                0.00208,                0.00208
                     27,                 1.1453,                0.82773,                 1.7842,                0.15103,                    0.5,                0.16112,                 0.0345,                  2.967,                 5.3846,                 3.7832,                0.00175,                0.00175,                0.00175
                     28,                 1.1489,                0.84218,                 1.7686,                0.11373,                    0.7,                0.14223,                0.02794,                 3.0536,                 7.0389,                 3.9562,                0.00142,                0.00142,                0.00142
                     29,                 1.1573,                 0.7722,                 1.7934,                0.18243,                    0.5,                0.17411,                0.03519,                 3.1349,                 6.0778,                 3.8855,                0.00109,                0.00109,                0.00109
                     30,                  1.109,                0.83361,                 1.7555,                 0.1474,                    0.4,                0.23163,                0.05202,                  3.087,                 7.0233,                  3.919,                0.00076,                0.00076,                0.00076
